Power before,fibr,r,,STD of power
1.407152,4.410943,1.010701,9.99686,0.316687173
1.407152,4.398485,1.010701,9.993349,4.421406445
1.407152,4.392308,1.010701,9.990151,0.295812386
1.407152,4.355491,1.010701,9.989681,1.450695069
1.407861,4.351994,1.010701,9.98536,
1.413312,4.357235,1.010701,9.982472,
1.411152,4.402554,1.010701,9.978545,
1.411732,4.399311,1.010701,9.973707,
1.411027,4.396567,1.010701,9.968975,
1.410874,4.382652,1.010701,9.96342,
1.408015,4.376885,1.010701,9.956362,
1.406237,4.386383,1.010701,9.955694,
1.409415,4.374667,1.010701,9.952574,
1.41089,4.348122,1.010701,9.94357,
1.408017,4.353696,1.010701,9.936284,
1.406806,4.354647,1.010701,9.929575,
1.405533,4.367926,1.010701,9.922027,
1.405096,4.342682,1.010701,9.915009,
1.407326,4.330003,1.010701,9.908748,
1.40724,4.339154,1.010701,9.904004,
1.405144,4.360892,1.010701,9.896976,
1.409552,4.373422,1.010701,9.895168,
1.41034,4.35532,1.010701,9.890875,
1.404856,4.360446,1.009574,9.885888,
1.407079,4.345789,1.009421,9.882695,
1.408374,4.326993,1.009376,9.875746,
1.412575,4.341158,1.009518,9.868081,
1.410515,4.357584,1.009631,9.863209,
1.40765,4.366056,1.009594,9.858921,
1.408256,4.354201,1.009585,9.853605,
1.409023,4.337416,1.009577,9.850739,
1.405299,4.336796,1.00965,9.84392,
1.406376,4.333362,1.009707,9.839633,
1.40694,4.359985,1.009672,9.832601,
1.411232,4.352638,1.009725,9.832494,
1.409252,4.340123,1.009776,9.828425,
1.411635,4.352003,1.009803,9.827138,
1.412943,4.336013,1.009854,9.823652,
1.411232,4.333822,1.009871,9.818359,
1.40804,4.323972,1.009911,9.81116,
1.407605,4.307206,1.00994,9.808706,
1.407402,4.326326,1.010038,9.805862,
1.409907,4.325307,1.010184,9.795899,
1.407618,4.31824,1.010225,9.794267,
1.408624,4.321663,1.010306,9.78999,
1.40754,4.308901,1.010446,9.785503,
1.407881,4.296705,1.010558,9.783509,
1.409692,4.329784,1.010546,9.780711,
1.408565,4.316244,1.010612,9.779099,
1.406389,4.293362,1.010621,9.777818,
1.406725,4.311003,1.010585,9.774996,
1.407624,4.28007,1.010622,9.774572,
1.411829,4.275444,1.010709,9.774549,
1.408443,4.311456,1.01077,9.776169,
1.4071,4.296275,1.010747,9.774084,
1.40723,4.30795,1.010901,9.770386,
1.408239,4.314454,1.011079,9.766584,
1.408068,4.308801,1.011164,9.765454,
1.406876,4.285209,1.011201,9.762256,
1.408017,4.266273,1.01136,9.760283,
1.40819,4.288972,1.011565,9.75776,
1.408267,4.315713,1.011733,9.755582,
1.408601,4.309119,1.011875,9.755485,
1.40838,4.277022,1.011927,9.753616,
1.408156,4.314405,1.011994,9.75407,
1.407426,4.261841,1.012017,9.75171,
1.41092,4.247602,1.012071,9.748116,
1.41265,4.28152,1.012187,9.745449,
1.408916,4.289217,1.01225,9.746054,
1.410311,4.273492,1.012226,9.746902,
1.410698,4.2414,1.012207,9.746477,
1.408703,4.277725,1.012319,9.744368,
1.409441,4.271498,1.012407,9.742229,
1.408239,4.252583,1.01241,9.740457,
1.405261,4.24376,1.01247,9.737944,
1.406773,4.251119,1.012487,9.735468,
1.404355,4.257397,1.012663,9.730054,
1.40659,4.257169,1.012707,9.724956,
1.404363,4.269247,1.01273,9.724562,
1.405766,4.261911,1.012824,9.722271,
1.41271,4.24516,1.012864,9.717526,
1.408991,4.236696,1.012958,9.714086,
1.408905,4.233645,1.012941,9.710229,
1.407054,4.231879,1.012989,9.711926,
1.405236,4.231345,1.012968,9.705701,
1.404928,4.228374,1.013075,9.704968,
1.408595,4.227248,1.013105,9.705942,
1.407479,4.219217,1.013019,9.704877,
1.408331,4.250089,1.01296,9.703264,
1.40853,4.226656,1.013032,9.699246,
1.410499,4.205529,1.013009,9.695924,
1.408606,4.215258,1.013043,9.692917,
1.407488,4.226429,1.013105,9.687398,
1.409112,4.212159,1.013212,9.68543,
1.406421,4.192266,1.013265,9.682632,
1.407781,4.200181,1.013282,9.680533,
1.412855,4.186278,1.013319,9.678126,
1.413404,4.198588,1.013304,9.676317,
1.413379,4.237163,1.013271,9.673719,
1.411986,4.186134,1.013321,9.672544,
1.409322,4.193884,1.013342,9.669152,
1.409398,4.166836,1.013231,9.664875,
1.410653,4.178114,1.013194,9.664,
1.40553,4.180421,1.013204,9.659634,
1.4067,4.185638,1.013185,9.654557,
1.40753,4.189414,1.013173,9.652104,
1.407004,4.190136,1.013312,9.64998,
1.409123,4.169981,1.013258,9.648904,
1.413261,4.158069,1.013327,9.646517,
1.410732,4.166253,1.013326,9.643644,
1.406989,4.169406,1.013286,9.642002,
1.411992,4.177939,1.013087,9.639526,
1.411384,4.169852,1.013084,9.635628,
1.406811,4.155631,1.012924,9.634889,
1.411056,4.156206,1.013126,9.632532,
1.407819,4.139147,1.013112,9.628843,
1.406483,4.134506,1.013068,9.626711,
1.406431,4.131641,1.013113,9.622856,
1.410162,4.168074,1.012936,9.621078,
1.407034,4.175792,1.012902,9.619534,
1.414814,4.148088,1.012547,9.61556,
1.416291,4.145833,1.012341,9.61269,
1.416695,4.122089,1.01264,9.609463,
1.412524,4.137554,1.012413,9.605273,
1.410524,4.165588,1.012388,9.600386,
1.42109,4.129503,1.012499,9.600087,
1.416094,4.124517,1.011959,9.5977,
1.410797,4.136794,1.0119,9.5946,
1.420947,4.128753,1.011805,9.592974,
1.408375,4.120428,1.011807,9.590385,
1.409728,4.096115,1.011663,9.585305,
1.415772,4.104526,1.011614,9.583821,
1.416851,4.15069,1.011391,9.580766,
1.418816,4.119615,1.011325,9.577809,
1.424325,4.106855,1.011142,9.574974,
1.419011,4.10814,1.01108,9.569906,
1.415408,4.098002,1.010956,9.568498,
1.413,4.096158,1.010511,9.566958,
1.421353,4.093716,1.010399,9.564917,
1.406219,4.086085,1.010098,9.562182,
1.410585,4.107969,1.010352,9.558959,
1.407366,4.102219,1.010121,9.558405,
1.411162,4.088147,1.009777,9.55393,
1.412986,4.088578,1.009645,9.554898,
1.423426,4.093574,1.009455,9.552723,
1.421477,4.087205,1.009215,9.551295,
1.418617,4.091975,1.008886,9.549038,
1.417048,4.092136,1.008629,9.546272,
1.415047,4.093608,1.008498,9.54431,
1.414161,4.104771,1.00817,9.542959,
1.413659,4.109211,1.008383,9.542656,
1.420071,4.069922,1.008248,9.54147,
1.418136,4.080769,1.007895,9.538224,
1.417166,4.085272,1.007726,9.535092,
1.415139,4.098168,1.007551,9.533333,
1.41457,4.082117,1.007255,9.533912,
1.411987,4.069268,1.006959,9.53316,
1.412385,4.083861,1.006788,9.53308,
1.411606,4.09141,1.006599,9.53023,
1.419909,4.074115,1.006502,9.532041,
1.419888,4.049184,1.006341,9.532061,
1.412576,4.045728,1.006189,9.528589,
1.410784,4.039879,1.005799,9.528867,
1.412683,4.052053,1.005573,9.529291,
1.414813,4.061716,1.005355,9.529114,
1.418375,4.066261,1.005052,9.527358,
1.416165,4.058032,1.004802,9.527162,
1.418703,4.046458,1.004396,9.527922,
1.415973,4.041075,1.00402,9.524213,
1.412882,4.042499,1.004017,9.525975,
1.410943,4.042711,1.003588,9.528744,
1.412994,4.030767,1.00341,9.530049,
1.414204,4.041191,1.003188,9.527439,
1.410756,4.042775,1.002645,9.528221,
1.420546,4.043719,1.002198,9.52734,
1.424977,4.036626,1.001795,9.528559,
1.41112,4.044509,1.001644,9.530275,
1.41218,4.048166,1.001286,9.529843,
1.418195,4.039636,1.000889,9.529899,
1.41682,4.045181,1.000576,9.527721,
1.418878,4.036207,1.000259,9.52668,
1.415946,4.040612,,9.526151,
1.4131,4.034362,,9.529832,
1.410104,4.02862,,9.529816,
1.414835,4.037416,,9.527544,
